order_id,customer_id,product_id,quantity,amount,status,payment_method,city,created_at
ORD000201,CUST0127,PROD018,3,12398.99,completed,Credit Card,Pune,2026-05-02 20:13:00
ORD000202,CUST0175,PROD049,2,7904.21,completed,UPI,Ahmedabad,2026-05-02 12:36:00
ORD000203,CUST0117,PROD001,2,1664.04,returned,Debit Card,Chennai,2026-05-02 08:07:00
ORD000204,CUST0071,PROD006,1,836.94,completed,Credit Card,Delhi,2026-05-02 12:56:00
ORD000205,CUST0102,PROD041,2,1738.7,completed,Net Banking,Kolkata,2026-05-02 19:42:00
ORD000206,CUST0020,PROD009,1,1106.43,completed,EMI,Ahmedabad,2026-05-02 10:45:00
ORD000207,CUST0109,PROD045,1,4094.69,completed,UPI,Chennai,2026-05-02 08:00:00
ORD000208,CUST0081,PROD024,1,557.01,failed,Net Banking,Kolkata,2026-05-02 20:05:00
ORD000209,CUST0136,PROD037,3,2271.37,completed,Net Banking,Ahmedabad,2026-05-02 12:41:00
ORD000210,CUST0106,PROD040,1,3753.93,completed,Net Banking,Delhi,2026-05-02 19:46:00
ORD000211,CUST0099,PROD023,1,2968.39,returned,Credit Card,Bangalore,2026-05-02 11:08:00
ORD000212,CUST0154,PROD039,1,1278.43,completed,Credit Card,Mumbai,2026-05-02 15:17:00
ORD000213,CUST0192,PROD026,1,2572.14,completed,UPI,Chennai,2026-05-02 17:13:00
ORD000214,CUST0153,PROD005,1,2522.93,completed,UPI,Pune,2026-05-02 23:24:00
ORD000215,CUST0108,PROD024,1,4202.92,completed,Net Banking,Ahmedabad,2026-05-02 18:08:00
ORD000216,CUST0056,PROD003,1,118.28,failed,Debit Card,Jaipur,2026-05-02 10:01:00
ORD000217,CUST0109,PROD045,1,3847.19,completed,EMI,Jaipur,2026-05-02 17:40:00
ORD000218,CUST0053,PROD010,1,441.16,completed,Debit Card,Surat,2026-05-02 12:17:00
ORD000219,CUST0062,PROD004,1,3663.29,completed,Debit Card,Delhi,2026-05-02 10:19:00
ORD000220,CUST0190,PROD043,1,1580.99,completed,UPI,Mumbai,2026-05-02 22:39:00
ORD000221,CUST0089,PROD034,1,2507.24,completed,Credit Card,Bangalore,2026-05-02 12:44:00
ORD000222,CUST0188,PROD008,1,4373.63,completed,UPI,Pune,2026-05-02 19:08:00
ORD000223,CUST0148,PROD041,1,1351.6,completed,Debit Card,Jaipur,2026-05-02 21:17:00
ORD000224,CUST0095,PROD011,1,2856.09,completed,UPI,Surat,2026-05-02 19:03:00
ORD000225,CUST0004,PROD016,1,62.71,completed,Credit Card,Kolkata,2026-05-02 11:14:00
ORD000226,CUST0142,PROD046,2,8589.1,completed,Debit Card,Chennai,2026-05-02 12:11:00
ORD000227,CUST0070,PROD005,1,3615.43,completed,UPI,Jaipur,2026-05-02 18:15:00
