order_id,customer_id,product_id,quantity,amount,status,payment_method,city,created_at
ORD000201,CUST0069,PROD053,3,96515.37,completed,Credit Card,Pune,2026-05-02 20:13:00
ORD000202,CUST0175,PROD051,2,103778.14,completed,UPI,Delhi,2026-05-02 12:36:00
ORD000203,CUST0117,PROD055,1,24118.54,completed,Debit Card,Chennai,2026-05-02 22:01:00
ORD000204,CUST0071,PROD011,1,131226.29,completed,Credit Card,Hyderabad,2026-05-02 12:56:00
ORD000205,CUST0102,PROD042,1,25246.0,completed,Net Banking,Kolkata,2026-05-02 10:23:00
ORD000206,CUST0034,PROD014,1,71782.6,completed,EMI,Ahmedabad,2026-05-02 10:45:00
ORD000207,CUST0109,PROD053,1,18528.77,completed,Debit Card,Delhi,2026-05-02 08:00:00
ORD000208,CUST0081,PROD052,1,15812.86,completed,Credit Card,Bangalore,2026-05-02 15:24:00
ORD000209,CUST0174,PROD056,2,40810.72,completed,EMI,Surat,2026-05-02 20:49:00
ORD000210,CUST0055,PROD029,1,53002.56,completed,Net Banking,Kolkata,2026-05-02 08:39:00
ORD000211,CUST0032,PROD007,1,21431.96,completed,Debit Card,Pune,2026-05-02 22:55:00
ORD000212,CUST0022,PROD016,1,41906.66,completed,EMI,Surat,2026-05-02 21:20:00
ORD000213,CUST0169,PROD002,2,254519.74,pending,Net Banking,Jaipur,2026-05-02 17:49:00
ORD000214,CUST0062,PROD042,1,8658.09,completed,UPI,Chennai,2026-05-02 14:47:00
ORD000215,CUST0004,PROD034,1,133364.32,returned,Credit Card,Bangalore,2026-05-02 23:40:00
ORD000216,CUST0175,PROD027,2,110258.32,completed,Debit Card,Delhi,2026-05-02 20:55:00
ORD000217,CUST0016,PROD017,1,32753.57,failed,Debit Card,Jaipur,2026-05-02 08:37:00
ORD000218,CUST0180,PROD050,1,62607.08,completed,EMI,Jaipur,2026-05-02 17:40:00
ORD000219,CUST0053,PROD006,1,76940.05,returned,Net Banking,Jaipur,2026-05-02 12:17:00
ORD000220,CUST0175,PROD049,1,125261.71,completed,Credit Card,Kolkata,2026-05-02 18:25:00
ORD000221,CUST0157,PROD028,1,17839.99,completed,Credit Card,Bangalore,2026-05-02 15:03:00
ORD000222,CUST0128,PROD045,1,2196.92,returned,EMI,Jaipur,2026-05-02 11:00:00
ORD000223,CUST0069,PROD048,1,117278.04,completed,UPI,Mumbai,2026-05-02 16:10:00
ORD000224,CUST0183,PROD034,1,10048.86,returned,UPI,Ahmedabad,2026-05-02 18:51:00
ORD000225,CUST0043,PROD032,1,128974.29,completed,Credit Card,Delhi,2026-05-02 22:32:00
